,<CLOSE>,indicator,Общая стоимость портфеля
2013-07-30,14.94,0.0,3059.0
2013-08-01,13.59,100.0,2789.0
2013-08-02,14.75,0.0,3021.0
2013-08-07,14.22,0.0,2915.0
2013-08-09,13.9,0.0,2851.0
2013-08-13,15.09,0.0,3089.0
2013-08-14,15.0,0.0,3071.0
2013-08-15,13.56,0.0,2783.0
2013-08-16,14.0,0.0,2871.0
2013-08-21,14.3,0.0,2931.0
2013-08-22,14.98,0.0,3067.0
2013-08-23,15.27,0.0,3125.0
2013-08-27,15.21,0.0,3113.0
2013-08-28,15.2,0.0,3111.0
2013-08-29,15.2,0.0,3111.0
2013-08-30,15.0,0.0,3071.0
2013-09-02,11.6,0.0,2391.0
2013-09-03,16.48,0.0,3367.0
2013-09-17,16.49,0.0,3368.9999999999995
2013-09-18,16.5,0.0,3371.0
2013-09-19,16.0,0.0,3271.0
2013-09-24,16.5,0.0,3371.0
2013-09-27,12.5,0.0,2571.0
2013-09-30,12.5,0.0,2571.0
2013-10-01,13.23,0.0,2717.0
2013-10-02,14.5,0.0,2971.0
2013-10-03,13.22,0.0,2715.0
2013-10-07,14.3,0.0,2931.0
2013-10-08,13.87,0.0,2845.0
2013-10-10,14.29,0.0,2929.0
2013-10-11,13.38,0.0,2747.0
2013-10-14,13.3,0.0,2731.0
2013-10-15,14.29,0.0,2929.0
2013-10-16,14.23,0.0,2917.0
2013-10-17,14.59,0.0,2989.0
2013-10-18,13.0,0.0,2671.0
2013-10-21,12.56,0.0,2583.0
2013-10-22,12.35,0.0,2541.0
2013-10-23,13.35,0.0,2741.0
2013-10-29,10.07,0.0,2085.0
2013-10-30,12.0,0.0,2471.0
2013-11-05,12.29,0.0,2529.0
2013-11-06,12.1,0.0,2491.0
2013-11-13,11.7,0.0,2411.0
2013-11-14,10.07,0.0,2085.0
2013-11-15,10.99,0.0,2269.0
2013-11-19,11.5,0.0,2371.0
2013-11-20,10.0,0.0,2071.0
2013-11-26,10.18,0.0,2107.0
2013-11-27,10.5,0.0,2171.0
2013-11-28,10.0,0.0,2071.0
2013-11-29,10.0,0.0,2071.0
2013-12-02,9.5,0.0,1971.0
2013-12-05,9.5,0.0,1971.0
2013-12-06,10.0,0.0,2071.0
2013-12-09,10.0,0.0,2071.0
2013-12-13,10.99,0.0,2269.0
2013-12-16,11.02,0.0,2275.0
2013-12-17,11.3,0.0,2331.0
2013-12-18,10.3,0.0,2131.0
2013-12-19,10.5,0.0,2171.0
2013-12-20,10.77,0.0,2225.0
2013-12-23,9.95,0.0,2061.0
2013-12-26,13.79,0.0,2829.0
2013-12-27,13.6,0.0,2791.0
2013-12-30,13.46,0.0,2763.0
2014-01-06,11.56,0.0,2383.0
2014-01-08,14.0,0.0,2871.0
2014-01-09,14.75,0.0,3021.0
2014-01-10,13.01,0.0,2673.0
2014-01-14,15.5,0.0,3171.0
2014-01-16,15.5,0.0,3171.0
2014-01-17,13.51,0.0,2773.0
2014-01-20,15.97,0.0,3265.0
2014-01-22,14.0,0.0,2871.0
2014-01-24,16.05,0.0,3281.0
2014-01-30,11.73,0.0,2417.0
2014-01-31,11.77,0.0,2425.0
2014-02-03,11.73,0.0,2417.0
2014-02-04,12.29,0.0,2529.0
2014-02-05,11.79,0.0,2429.0
2014-02-07,11.45,0.0,2361.0
2014-02-12,11.45,0.0,2361.0
2014-02-14,11.29,0.0,2329.0
2014-02-18,11.35,0.0,2341.0
2014-02-20,11.35,0.0,2341.0
2014-02-21,15.88,84.61538461538461,3247.0
2014-02-24,22.22,9.615384615384617,4515.0
2014-02-25,24.88,10.0,4781.0
2014-02-26,32.97,32.857142857142854,4781.0
2014-02-27,35.85,6.666666666666666,4781.0
2014-02-28,30.9,10.0,4781.0
2014-03-03,31.4,28.63636363636364,4781.0
2014-03-04,24.0,0.0,4781.0
2014-03-05,23.75,10.0,4781.0
2014-03-06,23.94,0.0,4781.0
2014-03-07,24.09,100.0,4781.0
2014-03-11,24.59,0.0,4831.0
2014-03-12,24.6,0.0,4831.0
2014-03-13,24.63,0.0,4831.0
2014-03-14,16.4,0.0,4831.0
2014-03-17,16.08,0.0,4831.0
2014-03-18,16.26,0.0,4831.0
2014-03-19,14.8,0.0,4831.0
2014-03-20,16.1,0.0,4831.0
2014-03-21,21.23,0.0,4831.0
2014-03-24,23.0,0.0,4831.0
2014-03-25,20.11,0.0,4831.0
2014-03-26,20.9,0.0,4831.0
2014-03-27,20.67,0.0,4831.0
2014-03-28,21.41,0.0,4831.0
2014-03-31,21.2,0.0,4831.0
2014-04-01,21.24,0.0,4831.0
2014-04-02,21.42,0.0,4831.0
2014-04-03,21.0,0.0,4831.0
2014-04-04,21.1,0.0,4831.0
2014-04-07,19.4,0.0,4831.0
2014-04-08,19.2,0.0,4831.0
2014-04-09,20.0,0.0,4831.0
2014-04-10,19.22,0.0,4831.0
2014-04-11,18.42,0.0,4831.0
2014-04-14,18.5,0.0,4831.0
2014-04-15,19.3,0.0,4831.0
2014-04-16,19.3,100.0,4831.0
2014-04-17,19.5,0.0,4851.0
2014-04-18,19.6,0.0,4851.0
2014-04-21,20.01,100.0,4851.0
2014-04-22,20.0,0.0,4850.0
2014-04-23,20.29,100.0,4850.0
2014-04-24,20.49,20.0,4870.0
2014-04-25,20.2,0.0,4870.0
