ahe,female,ne,midwest,south,west,race,yrseduc,ba,hsdipl,age
17.58241844,0,1,0,0,0,1,16,1,1,27
13.24786282,1,1,0,0,0,1,16,1,1,27
9.615385056,0,1,0,0,0,1,12,0,1,46
16.34615326,0,1,0,0,0,1,12,0,1,42
12.01923084,1,1,0,0,0,1,14,0,1,38
7.672161102,1,1,0,0,0,1,13,0,1,48
7.692307472,0,1,0,0,0,1,12,0,1,38
9.134614944,1,1,0,0,0,1,13,0,1,47
18.80341911,1,1,0,0,0,1,16,1,1,46
20.67307663,0,1,0,0,0,1,16,1,1,45
32.69230652,0,1,0,0,0,1,13,0,1,48
18.75,0,1,0,0,0,1,12,0,1,51
19.71153831,1,1,0,0,0,1,14,0,1,50
12.01923084,0,1,0,0,0,1,11,0,0,57
16.82692337,0,1,0,0,0,1,16,1,1,51
14.42307663,0,1,0,0,0,1,12,0,1,44
5.723443031,0,1,0,0,0,1,12,0,1,47
20.17980766,0,1,0,0,0,1,12,0,1,37
25,0,1,0,0,0,1,12,0,1,46
12.82051277,1,1,0,0,0,1,16,1,1,31
15.38461494,0,1,0,0,0,1,12,0,1,37
7.211538315,1,1,0,0,0,1,12,0,1,38
6.009615421,0,1,0,0,0,1,12,0,0,47
6.009615421,1,1,0,0,0,1,11,0,0,52
3.846153736,1,1,0,0,0,1,8,0,0,55
11.07692337,0,1,0,0,0,1,14,0,1,34
15.86538506,1,1,0,0,0,1,16,1,1,43
7.163461685,1,1,0,0,0,1,12,0,1,29
15.38461494,0,1,0,0,0,1,12,0,1,56
12.82051277,1,1,0,0,0,1,13,0,1,45
21.4285717,1,1,0,0,0,1,18,1,1,51
12.91208744,0,1,0,0,0,1,13,0,1,51
7.51836729,1,1,0,0,0,1,16,1,1,41
14.42307663,0,1,0,0,0,1,12,0,1,45
20.19230843,0,1,0,0,0,1,12,0,1,61
8.653845787,1,1,0,0,0,1,12,0,1,47
7.932692528,0,1,0,0,0,1,12,0,1,52
15.38461494,0,1,0,0,0,1,18,1,1,52
22.59615326,0,1,0,0,0,1,13,0,1,52
26.44230843,0,1,0,0,0,1,16,1,1,42
17.5,0,1,0,0,0,1,14,0,1,34
7.211538315,1,1,0,0,0,1,12,0,1,26
6.730769157,0,1,0,0,0,1,12,0,1,40
7.211538315,1,1,0,0,0,1,12,0,1,63
13.46153831,1,1,0,0,0,1,16,1,1,35
18.26922989,0,1,0,0,0,1,12,0,1,33
6.25,1,1,0,0,0,1,8,0,0,60
16.82692337,0,1,0,0,0,1,12,0,1,40
12.82051277,1,1,0,0,0,1,12,0,1,43
16.5,0,1,0,0,0,1,16,1,1,50
16.05692291,1,1,0,0,0,1,16,1,1,43
13.39656925,1,1,0,0,0,1,11,0,0,62
18.30769157,1,1,0,0,0,1,16,1,1,45
21.36752129,0,1,0,0,0,1,16,1,1,41
5.208333492,0,1,0,0,0,1,9,0,0,47
9.615385056,0,1,0,0,0,1,12,0,1,30
34.61538315,0,1,0,0,0,1,20,1,1,52
9.398077011,0,1,0,0,0,1,12,0,1,37
17.78846169,0,1,0,0,0,1,12,0,1,38
18.26922989,1,1,0,0,0,1,12,0,1,33
11.21794891,0,1,0,0,0,1,12,0,1,51
7.211538315,1,1,0,0,0,1,12,0,1,39
7.961538315,0,1,0,0,0,1,13,0,1,42
9.080769539,0,1,0,0,0,1,12,0,0,35
28.84615326,0,1,0,0,0,1,16,1,1,27
7.692307472,1,1,0,0,0,1,14,0,1,26
22.83653831,0,1,0,0,0,1,12,0,1,42
12.01923084,0,1,0,0,0,1,12,0,1,25
9.615385056,1,1,0,0,0,1,12,0,1,34
21.63461494,1,1,0,0,0,1,13,0,1,47
5.882352829,1,1,0,0,0,1,12,0,1,35
10.67307663,0,1,0,0,0,1,13,0,1,28
9.615385056,1,1,0,0,0,1,14,0,1,27
12.82051277,0,1,0,0,0,1,12,0,1,38
18.26922989,1,1,0,0,0,1,12,0,1,43
4.326922894,0,1,0,0,0,1,12,0,1,29
12.01923084,1,1,0,0,0,1,14,0,1,55
16.34615326,1,1,0,0,0,1,16,1,1,41
27.77777863,0,1,0,0,0,1,16,1,1,28
4.807692528,1,1,0,0,0,1,16,1,1,28
13.46153831,0,1,0,0,0,1,12,0,1,31
20.12384605,1,1,0,0,0,1,14,0,1,46
21.53846169,0,1,0,0,0,1,16,1,1,26
12.01923084,0,1,0,0,0,1,12,0,1,29
13.70192337,0,1,0,0,0,1,12,0,1,25
9.615385056,1,1,0,0,0,1,12,0,1,34
26.15384674,1,1,0,0,0,1,18,1,1,40
9.615385056,1,1,0,0,0,1,13,0,1,45
2.670940161,1,1,0,0,0,1,13,0,1,55
9.615385056,0,1,0,0,0,1,12,0,1,46
10.07326031,1,1,0,0,0,1,14,0,1,51
15.71594524,0,1,0,0,0,1,14,0,1,51
10.96538448,0,1,0,0,0,1,12,0,1,42
13.94230747,1,1,0,0,0,1,12,0,1,41
15.38461494,0,1,0,0,0,1,12,0,1,43
14.42307663,0,1,0,0,0,1,12,0,1,30
14.90384579,1,1,0,0,0,1,16,1,1,33
10.09615421,1,1,0,0,0,1,12,0,1,39
6.580729008,0,1,0,0,0,1,12,0,1,53
18.75,1,1,0,0,0,1,13,0,1,52
10.16250038,1,1,0,0,0,1,14,0,1,46
14.52991486,0,1,0,0,0,1,16,1,1,38
45.19230652,0,1,0,0,0,1,13,0,1,45
19.23077011,0,1,0,0,0,1,12,0,1,56
7.692307472,1,1,0,0,0,1,12,0,1,58
25,1,1,0,0,0,1,18,1,1,56
24.72527504,1,1,0,0,0,1,19,1,1,37
16.82692337,0,1,0,0,0,1,16,1,1,46
14.90384579,0,1,0,0,0,1,16,1,1,43
29.05982971,0,1,0,0,0,1,16,1,1,46
14.42307663,1,1,0,0,0,1,16,1,1,42
15.14423084,1,1,0,0,0,1,18,1,1,49
16.25457954,0,1,0,0,0,1,13,0,1,64
19.23077011,0,1,0,0,0,1,13,0,1,37
14.04807663,0,1,0,0,0,1,18,1,1,47
23.84615326,0,1,0,0,0,1,16,1,1,49
8.125,1,1,0,0,0,1,16,1,1,48
15.38461494,1,1,0,0,0,1,12,0,1,40
4.9145298,1,1,0,0,0,1,12,0,1,33
26.92307663,0,1,0,0,0,1,18,1,1,37
11.05769253,1,1,0,0,0,1,16,1,1,37
22.11538506,1,1,0,0,0,1,12,0,1,38
10.57692337,0,1,0,0,0,1,13,0,1,28
7.518796921,1,1,0,0,0,1,12,0,1,26
26.92307663,0,1,0,0,0,1,13,0,1,59
2.799999952,0,1,0,0,0,1,14,0,1,52
9.375,1,1,0,0,0,1,13,0,1,40
12.5,0,1,0,0,0,1,12,0,1,36
21.63461494,0,1,0,0,0,1,14,0,1,29
11.05769253,1,1,0,0,0,1,16,1,1,25
9.065934181,0,1,0,0,0,1,12,0,1,26
7.692307472,0,1,0,0,0,1,13,0,1,28
7.692307472,1,1,0,0,0,1,12,0,1,31
19.05982971,1,1,0,0,0,1,20,1,1,50
